CustomerID,CustomerName,Email,Gender,Age,City,RegionID,JoinDate
1,Susan Robles,john03@yahoo.com,Male,19,Johnmouth,3,2025-04-07
2,Kevin Rivas,jeffreyherrera@hutchinson-willis.biz,Male,32,West Robert,2,2025-08-08
3,Jeffrey Hickman,helenhaynes@garcia.net,Male,52,Leburgh,1,2025-09-11
4,Kerri Knox,edwardcalderon@hotmail.com,Female,20,Robertsonview,1,2025-11-14
5,Renee Jacobs,waltersjared@hotmail.com,Male,31,South Danny,2,2025-05-05
6,Thomas Torres,stevensrichard@gmail.com,Male,53,Stevenmouth,2,2024-07-08
7,Susan Brady,rebeccarobinson@lopez.com,Female,32,Lesterfort,4,2024-11-15
8,Jason Martinez,jamie48@orr.org,Female,18,East Meredith,2,2023-10-16
9,Jordan Davis,kimberly88@yahoo.com,Female,39,North Jeffrey,3,2023-11-05
10,Amber Thompson,richard45@gmail.com,Male,31,North Stephanieland,3,2025-10-07
11,Erica Porter,stephen66@rose.com,Male,23,Zacharystad,4,2024-05-27
12,Emily Martinez,bwagner@hotmail.com,Male,40,Michaelport,3,2023-07-22
13,Jessica Campbell,uthomas@garcia.net,Female,20,East April,4,2025-06-29
14,Derek Lee,billybishop@snyder.com,Male,42,Dawnhaven,1,2024-07-05
15,Marc Rogers,jocelynprince@carter.org,Female,58,Brownborough,3,2024-12-06
16,Kyle Thomas,elizabeth40@hotmail.com,Male,22,Jamesberg,1,2024-04-01
17,Ashley Brown,tara39@torres.com,Male,36,Lake Pamela,1,2024-07-31
18,Cynthia Robinson,brittany20@hotmail.com,Male,24,Richardsonshire,4,2024-03-26
19,Destiny Smith,michael05@gmail.com,Female,47,Phillipsstad,3,2023-10-09
20,James James,osbornemary@miles-page.com,Male,41,Curtisburgh,3,2023-12-21
21,Veronica Carlson,zwilliams@robbins.com,Male,60,Clayshire,3,2023-09-14
22,Tina Smith,nriggs@blake.com,Male,56,East Donald,2,2025-06-23
23,John Fleming,richardsonmichael@gmail.com,Male,28,Christyberg,4,2025-10-22
24,Thomas Duncan,smithcole@boyer-white.net,Female,35,East Shaun,2,2024-05-04
25,Ernest Moore,nbridges@walsh.info,Female,21,Stevenview,2,2023-09-06
26,Jerry Bishop,courtney16@hotmail.com,Male,38,South Charlesport,4,2024-09-01
27,Andrea Chavez,heidichen@hotmail.com,Female,22,South Michael,2,2025-02-25
28,Scott Sanchez,zblackwell@yahoo.com,Female,31,Port Cynthia,4,2023-08-30
29,Justin Bond,gregorybrown@yahoo.com,Female,59,South Richardfurt,4,2025-05-27
30,Logan Santiago,sandraward@hotmail.com,Male,34,Smithhaven,2,2024-01-17
31,Mark Thompson,saraholmes@elliott.org,Male,53,New Monique,3,2025-07-17
32,Barry Ford,kimjoseph@yahoo.com,Female,55,Schmidtland,4,2023-10-04
33,Brandon Howell,jefferynorris@turner-payne.com,Female,32,Katherineville,2,2024-01-03
34,Larry Miller,nelsonjillian@norton-villa.biz,Female,23,East Morganhaven,1,2023-12-06
35,John Cunningham,jessica75@trujillo-gates.org,Male,27,Scottborough,2,2025-07-03
36,John Armstrong,leegraham@gmail.com,Female,56,Manuelshire,1,2026-04-24
37,Ashley Scott,laurawatkins@gmail.com,Female,42,Hamiltonburgh,4,2026-04-22
38,Danielle Jefferson,mayoyolanda@martinez-cohen.com,Female,53,Port Matthew,1,2024-02-27
39,Charles Hunt,baileychen@hotmail.com,Male,52,East Jo,3,2023-09-14
40,Vicki Thompson,jamiesoto@yahoo.com,Female,25,Jordanville,3,2025-04-03
41,Mrs. Karen Moore,barbaranielsen@cherry.org,Female,28,Zacharytown,4,2023-07-10
42,William Graham,torresmelissa@jackson.biz,Male,34,East Jessica,2,2025-08-19
43,Erica Stokes,millstaylor@perez.info,Male,58,West Aliciachester,3,2024-06-17
44,Brandon Alvarez,rebeccamartin@gmail.com,Male,27,South David,3,2025-01-31
45,Matthew Hamilton,yryan@johnson-goodman.com,Male,52,East Michael,1,2025-01-27
